epoch,lr
1,0.0002499385667655336
2,0.00024975432768931983
3,0.0002494474645930835
4,0.00024901828031365255
5,0.0002484671984040947
6,0.00024779476271572176
7,0.0002470016368613741
8,0.0002460886035605146
9,0.00024505656386677945
10,0.00024390653627874665
11,0.0002426396557348011
12,0.00024125717249308732
13,0.00023976045089765566
14,0.00023815096803201947
15,0.00023643031226145184
16,0.00023460018166546106
17,0.00023266238236199104
18,0.00023061882672500094
19,0.00022847153149718302
20,0.00022622261579968104
21,0.0002238742990407735
22,0.00022142889872558584
23,0.0002188888281689923
24,0.00021625659411396583
25,0.00021353479425772524
26,0.00021072611468812182
27,0.00020783332723279475
28,0.00020485928672371196
29,0.00020180692817979568
30,0.00019867926391041303
31,0.00019547938054259036
32,0.00019221043597488516
33,0.0001888756562609213
34,0.00018547833242566362
35,0.00018202181721757365
36,0.00017850952179985163
37,0.00017494491238403026
38,0.0001713315068092425
39,0.00016767287107053886
40,0.00016397261579968102
